Aufklärung, 65
Verkehr, 63
Verhalten, 63
Schiedsrichter, 63
Strafen, 62
Mutmaßlicher, 67
werfen, 66
Aufgabe, 59
eingestellt, 59
beleidigt, 57
Haltung, 63
angeklagt, 63
Vorwürfen, 56
Rücken, 55
letzter, 55
heftige, 55
Berichte, 62
Neuzugang, 55
mutmaßliche, 55
Verdächtige, 55
Panne, 61
vorgeworfen, 61
erwägt, 53
bewegt, 53
eigenes, 60
besteht, 59
Händler, 53
Stiftung, 59
Vorgänger, 53
Verdächtiger, 59
Führerschein, 53
davor, 52
Raketen, 58
erhöhen, 52
Haushalt, 52
angeblich, 65
Betreiber, 65
Ruhestand, 58
Machthaber, 58
Unterschiede, 58
rast, 64
leidet, 57
Gebäude, 65
Großeinsatz, 51
mutmaßlichen, 57
roten, 56
Zugang, 63
Umfeld, 50
Berufung, 50
notwendig, 50
gesprengt, 50
Haftbefehl, 56
Oper, 49
meint, 56
Ausbau, 69
gesteht, 55
entfernt, 55
Schicksal, 49
Haushalte, 49
Wettbewerb, 49
Unterschied, 55
Beschäftigten, 49
fand, 48
Tiere, 54
Hetze, 54
trennt, 48
Beitrag, 54
Treffer, 54
vermutet, 54
Aufgaben, 48
entstehen, 48
durchsucht, 48
abgeschafft, 54
Fortschritt, 48
Altersvorsorge, 48
Veranstaltungen, 48
dicht, 47
birgt, 53
Zinsen, 59
gelöst, 53
verlegt, 47
erteilt, 47
Blamage, 47
Fahrrad, 47
Gefahren, 53
beteiligt, 47
Aufschwung, 47
Betrunkener, 66
Hinteregger, 47
Müll, 52
gern, 46
Lügen, 58
Raser, 58
klappt, 52
weitet, 46
belasten, 46
Nachfolge, 52
hinterher, 58
Empfänger, 46
Bekloppte, 58
Zahlreiche, 59
Zeitumstellung, 53
Nachhaltigkeit, 53
ausgeschlossen, 46
lädt, 51
Spott, 51
stuft, 45
daher, 57
kehren, 45
gelingen, 45
Vermögen, 51
Belastung, 45
weitgehend, 64
durchsetzen, 45
vorgestellt, 45
hinterlässt, 45
entscheidend, 51
Überschwemmungen, 51
wem, 44
Höcke, 49
lockt, 49
Teilen, 55
Rakete, 44
Notruf, 44
werben, 49
Versuch, 55
Auftrag, 55
Rettung, 49
erzielt, 55
erkennt, 49
entsetzt, 44
Erdbeben, 62
ebenfalls, 44
Haftstrafe, 44
Äußerungen, 55
Verteilung, 56
schwierige, 44
verschiebt, 44
entscheidenden, 49
Lob, 54
Ehe, 48
Spuren, 54
Wirbel, 48
Einzug, 43
jubelt, 43
rutscht, 43
versagt, 49
Vorfall, 48
vergibt, 48
verteilt, 54
Ausstieg, 48
Ausgleich, 54
überzeugen, 48
kostenlose, 43
aufgenommen, 48
umstrittene, 48
Stattdessen, 48
gleichzeitig, 48
Veranstaltung, 48
Verfassungsgericht, 43
Stau, 53
Last, 66
Wüst, 42
außen, 42
Gießen, 59
Riesen, 54
Worauf, 47
dürften, 47
Ausfall, 42
kontert, 54
GLASAUGE, 53
Aufbruch, 47
heftigen, 42
Bewohner, 47
Bedrohung, 42
Rückstand, 42
Umsetzung, 59
entlassen, 53
Übersicht, 47
bestimmten, 47
begeistert, 47
Unbekannte, 47
heiß, 46
Anlauf, 41
teilte, 46
leider, 46
Mieten, 52
Umwelt, 41
Zustand, 46
Nüßlein, 41
schwach, 52
gesamte, 59
ziemlich, 47
Verzicht, 46
sichtbar, 46
Geschichten, 47
kurzfristig, 46
Vergewaltigung, 53
besorgniserregend, 41
Arzneimittelbehörde, 41
Aue, 51
Dauer, 51
leitet, 51
Abwehr, 45
wettert, 51
demnach, 40
Gendern, 45
müssten, 45
zugleich, 45
leichter, 52
beweisen, 45
geändert, 46
Anführer, 46
Krawalle, 40
Versagen, 51
bestimmen, 40
Einspruch, 45
Geschäften, 51
verursacht, 57
lief, 39
Hölle, 44
Kruse, 52
Anlass, 44
Trauer, 55
heftig, 44
Ausmaß, 49
strebt, 44
Karten, 44
handelt, 49
Spritze, 39
infrage, 44
bewusst, 50
Wahnsinn, 55
kündigen, 45
genehmigt, 49
Förderung, 62
Straftaten, 44
angenommen, 44
nachhaltig, 55
geschlagen, 44
Kassenärzte, 39
beschleunigt, 39
Reul, 48
Haut, 54
Karte, 44
Krebs, 54
senkt, 48
echte, 48
klingt, 48
Mieter, 48
schuldig, 43
Überfall, 69
Sängerin, 43
erwischt, 48
entsteht, 43
gefeiert, 43
Notstand, 43
scheitern, 48
Gottschalk, 43
eingestuft, 43
Tankstellen, 48
Erinnerungen, 49
beschlagnahmt, 49
Stich, 48
bitte, 37
Bäume, 47
hohem, 42
gebaut, 37
platzt, 47
Pflege, 59
bittere, 37
Anzeige, 47
Werbung, 47
nochmal, 47
bestimmt, 53
betrifft, 47
Einbruch, 48
erfüllen, 42
Lösungen, 42
auftreten, 37
Nachteile, 37
befürchten, 42
vermutlich, 47
Verbindungen, 42
Ausgerechnet, 53
Mitarbeiterin, 37
unterschiedlich, 42
wahre, 52
Küste, 41
prallt, 36
weisen, 46
Linien, 36
frühen, 46
worauf, 36
klarer, 36
Wolken, 46
stellte, 41
Schwung, 52
Moschee, 36
gefasst, 58
Einheit, 46
erinnern, 52
behalten, 41
genießen, 41
anbieten, 36
einzelne, 41
seltener, 36
Abschluss, 47
Nachwuchs, 46
